time,AkSuu,AlaArcha,Alamedin,ChonKayindi,ChonKemin,KaraBalta,Kegety,Kochkor,Sokuluk
722496,1.45,1.333333333,1.613333333,NaN,8.996666667,1.283333333,0.51,21.7,1.5
722524,1.566666667,1.28,1.576666667,NaN,8.83,1.226666667,0.48,21.16666667,1.46
722555,2.046666667,1.566666667,1.566666667,NaN,12.22333333,1.496666667,0.55,17.13333333,1.656666667
722585,4.61,2.713333333,3.106666667,NaN,22.4,4.813333333,1.356666667,20.4,1.656666667
722616,14.38,6.236666667,11.27,NaN,43.66666667,18.1,3.423333333,23.96666667,10.02333333
722646,16.96666667,13.1,25.16666667,NaN,55.3,15.13333333,5.073333333,26.6,18.46666667
722677,11.48666667,14.77666667,22.6,NaN,55.03333333,6.876666667,5.553333333,29.63333333,16.6
722708,4.666666667,5.406666667,8.053333333,NaN,24.96666667,3.56,2.543333333,26.06666667,5.303333333
722738,3.233333333,3.08,4.396666667,NaN,16.3,2.59,1.483333333,22.6,3.056666667
722769,2.173333333,1.973333333,2.743333333,NaN,13.33333333,1.996666667,1.043333333,29.46666667,2.023333333
722799,1.93,1.75,2.063333333,NaN,11.8,1.673333333,0.8,27.43333333,1.673333333
722830,1.776666667,1.573333333,1.763333333,NaN,9.486666667,1.42,0.39,23.1,1.623333333
722861,1.68,1.526666667,1.676666667,NaN,9.313333333,1.186666667,0.376666667,22.1,1.446666667
722889,1.483333333,1.353333333,1.516666667,NaN,8.98,1.043333333,0.43,20.7,1.39
722920,1.83,1.476666667,1.49,NaN,10.29,1.353333333,0.503333333,14.63333333,1.413333333
722950,4.84,2.42,2.833333333,NaN,15.26666667,2.956666667,1.586666667,15,1.413333333
722981,12.56,8.676666667,11.34,NaN,48.7,16.76666667,5.01,24.13333333,10.27333333
723011,16.4,13.16666667,21.96666667,NaN,56.23333333,16.03333333,5.746666667,27.66666667,17.03333333
723042,11.78,19.1,22.1,NaN,59.86666667,8.53,7.256666667,35.73333333,14.65333333
