time,AlpineCamp,Baytyk,Belogorka,Bishkek,ChonArik,ChonKemin,ChonKurchak,KaraKudzhur,Kegety,Kochkorka,Shabdan,Sosnovka
729719,-4.410904473,-4.410904473,-4.410904473,-4.410904473,-4.410904473,-5.181926979,-4.410904473,-9.602307683,-5.181926979,-5.181926979,-5.38223591,-4.204096188
729729,-3.797213184,-3.797213184,-3.797213184,-3.797213184,-3.797213184,-5.535936857,-3.797213184,-11.3014497,-5.535936857,-5.535936857,-6.845761696,-3.346298518
729739,-0.410932456,-0.410932456,-0.410932456,-0.410932456,-0.410932456,-2.01533614,-0.410932456,-7.120139845,-2.01533614,-2.01533614,-2.899950966,0.101638247
729749,-4.957292046,-4.957292046,-4.957292046,-4.957292046,-4.957292046,-6.328064966,-4.957292046,-11.46926186,-6.328064966,-6.328064966,-7.308291097,-4.610713043
729760,-3.132346799,-3.132346799,-3.132346799,-3.132346799,-3.132346799,-4.50095859,-3.132346799,-9.850571309,-4.50095859,-4.50095859,-5.404720163,-2.410801359
729770,-4.218090293,-4.218090293,-4.218090293,-4.218090293,-4.218090293,-5.917407971,-4.218090293,-12.51161777,-5.917407971,-5.917407971,-6.96608758,-3.575005528
729780,-3.774526658,-3.774526658,-3.774526658,-3.774526658,-3.774526658,-4.80665181,-3.774526658,-9.926769718,-4.80665181,-4.80665181,-5.635865096,-3.606693207
729791,-0.491032607,-0.491032607,-0.491032607,-0.491032607,-0.491032607,-1.539887875,-0.491032607,-6.526005172,-1.539887875,-1.539887875,-2.18531475,0.084892163
729801,-4.244204816,-4.244204816,-4.244204816,-4.244204816,-4.244204816,-4.680598402,-4.244204816,-7.415128559,-4.680598402,-4.680598402,-4.975470011,-4.427533451
729811,-2.679397425,-2.679397425,-2.679397425,-2.679397425,-2.679397425,-3.702021064,-2.679397425,-8.626160283,-3.702021064,-3.702021064,-4.201841907,-2.596325722
